NAME,ADDRESS,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,EMPLOYEES_NON_COMMERCIAL,ENROLLMENT_RANGE,CAPACITY_BEDS_RANGE,NUMBER_OF_SCHOOLS_RANGE,OPERATION_TYPE,OWNERSHIP_TYPE,NUMBER_OF_MEALS_PER_DAY_RANGE,AVERAGE_DAILY_CENSUS,PRIMARY_GPO,SECONDARY_GPO,TOTAL_PATIENT_DAYS,Market_Category
ORCHARD COVE,1 DEL POND DR,CANTON,MA,2021,2759.0,25021,NORFOLK,1122.0,SENIOR LIVING,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,501 TO 1000,45.0,PREMIER,,,Social Clubs
COHASSET KNOLL SKILLED NURSING REHAB FAC,1 CHIEF JUSTICE CUSHING HWY,COHASSET,MA,2025,1201.0,25021,NORFOLK,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,60.0,,,,Healthcare
NOBLES DAY CAMP,10 CAMPUS DR,DEDHAM,MA,2026,4041.0,25021,NORFOLK,1122.0,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,COMPASS,UNCODED,>2000,,,,,Social Clubs
NORFOLK COUNTY COR CTR-SHERIFF DEPT,200 WEST ST,DEDHAM,MA,2026,5528.0,25021,NORFOLK,1122.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,51 TO 100,,PREMIER,,,Government Services
HIGHGATE MANOR,10 CAREMATRIX DR,DEDHAM,MA,2026,6149.0,25021,NORFOLK,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,125.0,,,,Healthcare
GOLDEN LIVING CENTER,1007 EAST ST,DEDHAM,MA,2026,6363.0,25021,NORFOLK,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,115.0,PREMIER,,,Healthcare
DOVER COUNCIL ON AGING-SENIOR CENTER,PO BOX 250,DOVER,MA,2030,250.0,25021,NORFOLK,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
SUPERVISORY UNION 50,9 JUNCTION ST,DOVER,MA,2030,1706.0,25021,NORFOLK,1122.0,SCHOOL DISTRICTS,UNCODED,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,,Government Services
LEAGUE SCHOOL-GRTR BOSTON RSDNTL TRTMNT,300 PROVIDENCE HWY,EAST WALPOLE,MA,2032,1521.0,25021,NORFOLK,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
CAMP WAZIYATAH,19 VOSE LN,EAST WALPOLE,MA,2032,1426.0,25021,NORFOLK,1122.0,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,,Social Clubs
HESS COUNTY ELDER SERVICES IN FOXBORO,90 N CARL ANNON CT,FOXBORO,MA,2035,1901.0,25021,NORFOLK,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
FOXBOROUGH PUBLIC SCHOOL DISTRICT,60 SOUTH ST,FOXBORO,MA,2035,2317.0,25021,NORFOLK,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,,Government Services
KENNEDY-DONOVAN CENTER,1 COMMERCIAL ST,FOXBORO,MA,2035,2530.0,25021,NORFOLK,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
CGSH-THE NORCAP LODGE-SBSTNC ABUSE SVCS,71 WALNUT ST,FOXBORO,MA,2035,2533.0,25021,NORFOLK,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
FRANKLIN PUBLIC SCHOOL DISTRICT,355 E CENTRAL ST,FRANKLIN,MA,2038,1352.0,25021,NORFOLK,1122.0,SCHOOL DISTRICTS,251-500,OVER 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,,,,,Government Services
DEAN COLLEGE,99 MAIN ST,FRANKLIN,MA,2038,1941.0,25021,NORFOLK,1122.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,1001 TO 2000,NOT APPLICABLE,NOT APPLICABLE,SODEXO,PRIVATE,1001 TO 2000,,,,,Educational Instituions
FRANKLIN SENIOR CENTER,80 W CENTRAL ST,FRANKLIN,MA,2038,2103.0,25021,NORFOLK,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
NEXT GENERATION CHILDRENS CENTER,831 W CENTRAL ST,FRANKLIN,MA,2038,3185.0,25021,NORFOLK,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
BRIGHT HORIZONS CHILD DEVELOPMENT CENTER,75 SGT WILLIAM B TERRY DR,HINGHAM,MA,2043,1518.0,25023,PLYMOUTH,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
PROJECT TURNABOUT INC-SUBSTANCE ABUSE,224 BEAL ST,HINGHAM,MA,2043,1595.0,25023,PLYMOUTH,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
HARBOR HOUSE REHAB-NURSING CTR,11 CONDITO RD,HINGHAM,MA,2043,1746.0,25023,PLYMOUTH,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,138.0,,,,Healthcare
HINGHAM PUBLIC SCHOOL DISTRICT,220 CENTRAL ST,HINGHAM,MA,2043,2745.0,25023,PLYMOUTH,1122.0,SCHOOL DISTRICTS,501-750,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,,Government Services
QUEEN ANNES NURSING HOME,50 RECREATION PARK DR,HINGHAM,MA,2043,4206.0,25023,PLYMOUTH,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,104.0,,,,Healthcare
DEERFIELD SENIOR ADC-HINGHAM,20 POND PARK RD,HINGHAM,MA,2043,4327.0,25023,PLYMOUTH,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,UNCODED,101 TO 250,,,,,Healthcare
HULL PUBLIC SCHOOLS,7 HADASAH WAY,HULL,MA,2045,2306.0,25023,PLYMOUTH,1122.0,SCHOOL DISTRICTS,1-250,1001 TO 2000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,1001 TO 2000,,,,,Government Services
MANSFIELD COUNCIL ON AGING SENIOR CENTER,PO BOX 232,MANSFIELD,MA,2048,232.0,25005,BRISTOL,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
NORTH RIVER COUNSELING INC-SBSTNC ABUSE,769 PLAIN ST,MARSHFIELD,MA,2050,2118.0,25023,PLYMOUTH,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
MARSHFIELD PUBLIC SCHOOL DISTRICT,76 S RIVER ST,MARSHFIELD,MA,2050,2453.0,25023,PLYMOUTH,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,,Government Services
EAMES WAY ELEMENTARY SCHOOL,165 EAMES WAY,MARSHFIELD,MA,2050,6327.0,25023,PLYMOUTH,1122.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,251 TO 500,,,,,Educational Instituions
MEDFIELD COUNCIL ON AGING SENIOR CENTER,459 MAIN ST,MEDFIELD,MA,2052,2009.0,25021,NORFOLK,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
THOMAS UPHAM HOUSE,519 MAIN ST,MEDFIELD,MA,2052,2522.0,25021,NORFOLK,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,40.0,,,,Healthcare
MEDWAY SENIOR CENTER,76 OAKLAND ST,MEDWAY,MA,2053,1305.0,25021,NORFOLK,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
MEDWAY COUNTRY MANOR,115 HOLLISTON ST,MEDWAY,MA,2053,1954.0,25021,NORFOLK,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,105.0,,,,Healthcare
MASSACHUSETTS CORRECTIONAL INST-NORFOLK,PO BOX 43,NORFOLK,MA,2056,43.0,25021,NORFOLK,1122.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,,Government Services
BAY STATE CORRECTIONAL CENTER,PO BOX 73,NORFOLK,MA,2056,73.0,25021,NORFOLK,1122.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,,Government Services
PONDVILLE CORRECTIONAL CENTER,PO BOX 146,NORFOLK,MA,2056,146.0,25021,NORFOLK,1122.0,PRISONS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,,Government Services
NORFOLK SENIOR CENTER,PO BOX 161,NORFOLK,MA,2056,161.0,25021,NORFOLK,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
CAMP MEADOWCROFT,260 BOWKER ST,NORWELL,MA,2061,1241.0,25023,PLYMOUTH,1122.0,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,,Social Clubs
SOUTHWOOD AT NORWELL NURSING CENTER,501 CORDWAINER DR,NORWELL,MA,2061,1630.0,25023,PLYMOUTH,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,136.0,,,,Healthcare
NORWELL KNOLL NURSING HOME,329 WASHINGTON ST,NORWELL,MA,2061,1737.0,25023,PLYMOUTH,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,66.0,,,,Healthcare
NORWELL KINDERCARE LEARNING CENTER,380 WASHINGTON ST,NORWELL,MA,2061,2010.0,25023,PLYMOUTH,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
NORWELL PUBLIC SCHOOLS,322 MAIN ST,NORWELL,MA,2061,2420.0,25023,PLYMOUTH,1122.0,SCHOOL DISTRICTS,1-250,2001 TO 5000,NOT APPLICABLE,3 TO 5,UNCODED,PUBLIC,>2000,,,,,Government Services
EXPLORATION SUMMER CAMP,PO BOX 368,NORWOOD,MA,2062,368.0,25021,NORFOLK,1122.0,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,,Social Clubs
BILLINGS HUMAN SERVICES-SUBSTANCE ABUSE,275 PROSPECT ST,NORWOOD,MA,2062,1467.0,25021,NORFOLK,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
VICTORIA HAVEN NURSING FACILITY,137 NICHOLS ST,NORWOOD,MA,2062,2009.0,25021,NORFOLK,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,27.0,,,,Healthcare
GOLDEN LIVING CENTER OF NORWOOD,460 WASHINGTON ST,NORWOOD,MA,2062,2312.0,25021,NORFOLK,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,94.0,PREMIER,,,Healthcare
CHARLWELL HOUSE NURSING HOME,305 WALPOLE ST,NORWOOD,MA,2062,3021.0,25021,NORFOLK,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,117.0,,,,Healthcare
CARITAS NORWOOD HOSPITAL,800 WASHINGTON ST,NORWOOD,MA,2062,3487.0,25021,NORFOLK,1122.0,HOSPITALS,1000+,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,SODEXO,UNCODED,>2000,120.1,Consorta,UHC (University HealthSystem Consortium),"43,820",Healthcare
ITT TECHNICAL INSTITUTE,333 BOSTON PROVIDENCE TPKE,NORWOOD,MA,2062,3927.0,25021,NORFOLK,1122.0,TECHNICAL AND TRADE SCHOOLS,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,,Educational Instituions
THE ELLIS NURSING AND REHAB CENTER,135 ELLIS AVE,NORWOOD,MA,2062,3946.0,25021,NORFOLK,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,>2000,159.0,PREMIER,,,Healthcare
NORFOLK ADULT DAY HEALTH CENTER,595 PLEASANT ST,NORWOOD,MA,2062,4603.0,25021,NORFOLK,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,UNCODED,251 TO 500,,,,,Healthcare
FINE MORTUARY COLLEGE,150 KERRY PL,NORWOOD,MA,2062,4766.0,25021,NORFOLK,1122.0,2 YEAR COLLEGE & UNIVERSITIES,UNCODED,250 AND LESS,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,101 TO 250,,,,,Educational Instituions
LIFECARE CENTER OF THE SOUTH SHORE,PO BOX 830,SCITUATE,MA,2066,830.0,25023,PLYMOUTH,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,115.0,,,,Healthcare
SCITUATE PUBLIC SCHOOL DISTRICT,606 CHIEF JUSTICE CUSHING HWY,SCITUATE,MA,2066,3225.0,25023,PLYMOUTH,1122.0,SCHOOL DISTRICTS,1-250,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,,Government Services
CARDIGAN NURSING HOME,59 COUNTRY WAY,SCITUATE,MA,2066,3746.0,25023,PLYMOUTH,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,55.0,,,,Healthcare
SHARON COUNCIL ON AGING SENIOR CENTER,PO BOX 20,SHARON,MA,2067,20.0,25021,NORFOLK,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
EPOCH SENIOR HEALTHCARE OF SHARON,259 NORWOOD ST,SHARON,MA,2067,1099.0,25021,NORFOLK,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,OTHER CONTRACTED,PUBLIC,1001 TO 2000,61.0,PREMIER,,,Healthcare
SHARON COUNTRY DAY CAMP,438 S MAIN ST,SHARON,MA,2067,1707.0,25021,NORFOLK,1122.0,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,,Social Clubs
HORIZONS FOR YOUTH CAMP,121 LAKEVIEW ST,SHARON,MA,2067,2709.0,25021,NORFOLK,1122.0,"CENTERS FOR CHILDREN, SUMMER CAMPS",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,>2000,,,,,Social Clubs
KINDERCARE LEARNING CENTER 1669,700 S MAIN ST,SHARON,MA,2067,2841.0,25021,NORFOLK,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
STOUGHTON COUNCIL ON AGING-SENIOR CENTER,PO BOX 582,STOUGHTON,MA,2072,582.0,25021,NORFOLK,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
NEW ENGLAND SINAI HOSPITAL AND REHAB CTR,150 YORK ST,STOUGHTON,MA,2072,1829.0,25021,NORFOLK,1122.0,HOSPITALS,501-750,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,>2000,177.6,PREMIER,HPPI (HealthCare Purchasing Partners International,"64,832",Healthcare
STRIAR JEWISH COMM CTR ECC-AFTER SCHL,445 CENTRAL ST,STOUGHTON,MA,2072,1900.0,25021,NORFOLK,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
STOUGHTON EXTENDED DAY AND PRESCHOOL,137 WALNUT ST,STOUGHTON,MA,2072,2638.0,25021,NORFOLK,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
GODDARD REHABILITATION NURSING CENTER,909 SUMNER ST,STOUGHTON,MA,2072,3396.0,25021,NORFOLK,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,58.0,Amerinet Inc,,,Healthcare
COPLEY AT STOUGHTON NURSING CENTER,380 SUMNER ST,STOUGHTON,MA,2072,3430.0,25021,NORFOLK,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,114.0,,,,Healthcare
BLUE HILLS ALZHEIMERS CARE CENTER,1044 PARK ST,STOUGHTON,MA,2072,3762.0,25021,NORFOLK,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,>2000,86.0,,,,Healthcare
WALPOLE COUNCIL ON AGING SENIOR CENTER,135 SCHOOL ST,WALPOLE,MA,2081,2837.0,25021,NORFOLK,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
WALPOLE PUBLIC SCHOOL DISTRICT,135 SCHOOL ST,WALPOLE,MA,2081,2837.0,25021,NORFOLK,1122.0,SCHOOL DISTRICTS,251-500,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,,Government Services
CLARK HOUSE FACILITY,30 LONGWOOD DR,WESTWOOD,MA,2090,1132.0,25021,NORFOLK,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,51 TO 100,NOT APPLICABLE,UNCODED,PUBLIC,1001 TO 2000,66.0,,,,Healthcare
MULBERRY CHILD CARE AND PRESCHOOL,200 PROVIDENCE HWY,WESTWOOD,MA,2090,1522.0,25021,NORFOLK,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
WESTWOOD KINDERCARE LEARNING CENTER,411 PROVIDENCE HWY,WESTWOOD,MA,2090,1927.0,25021,NORFOLK,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,UNCODED,501 TO 1000,,PREMIER,,,Educational Instituions
DOWNEY STREET ELEMENTARY SCHOOL,250 DOWNEY ST,WESTWOOD,MA,2090,2034.0,25021,NORFOLK,1122.0,PRIMARY SCHOOL,UNCODED,250 AND LESS,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PUBLIC,101 TO 250,,,,,Educational Instituions
WESTWOOD SENIOR CENTER,210 NAHATAN ST,WESTWOOD,MA,2090,2538.0,25021,NORFOLK,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
WESTWOOD PUBLIC SCHOOL DISTRICT,220 NAHATAN ST,WESTWOOD,MA,2090,2538.0,25021,NORFOLK,1122.0,SCHOOL DISTRICTS,1-250,2001 TO 5000,NOT APPLICABLE,6 TO 9,UNCODED,PUBLIC,>2000,,,,,Government Services
WM E SHEEHAN INTERMEDIATE ELEMENTARY SCH,549 POND ST,WESTWOOD,MA,2090,2841.0,25021,NORFOLK,1122.0,PRIMARY SCHOOL,UNCODED,251 TO 500,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,251 TO 500,,,,,Educational Instituions
WESTWOOD LODGE HOSPITAL,45 CLAPBOARDTREE ST,WESTWOOD,MA,2090,2903.0,25021,NORFOLK,1122.0,HOSPITALS,251-500,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,UNCODED,1001 TO 2000,192.3,UHC (University HealthSystem Consortium),Broadlane Inc,"70,175",Healthcare
WRENTHAM SENIOR CENTER,PO BOX 480,WRENTHAM,MA,2093,480.0,25021,NORFOLK,1122.0,"SOCIAL AND PRIVATE CLUBS, LEGIONS, FRATERNITIES",UNCODED,NOT APPLICABLE,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Social Clubs
SERENITY HILL NURSING AND REHAB CENTER,655 DEDHAM ST,WRENTHAM,MA,2093,1135.0,25021,NORFOLK,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,1 TO 50,NOT APPLICABLE,UNCODED,PUBLIC,501 TO 1000,41.0,,,,Healthcare
SCHOOLS OUT-WRENTHAM,120 TAUNTON ST,WRENTHAM,MA,2093,1319.0,25021,NORFOLK,1122.0,"PRE-K, KINDERGARTEN, CHILD CARE",UNCODED,UNCODED,NOT APPLICABLE,NOT APPLICABLE,UNCODED,UNCODED,501 TO 1000,,,,,Educational Instituions
MAPLES REHAB AND NURSING CENTER,90 TAUNTON ST,WRENTHAM,MA,2093,1349.0,25021,NORFOLK,1122.0,NURSING HOME,UNCODED,NOT APPLICABLE,101 TO 500,NOT APPLICABLE,UNCODED,PUBLIC,>2000,135.0,,,,Healthcare
SPEECH PATHOLOGY-AUDIOLOGY DEPARTMENT,PO BOX 823,BOSTON,MA,2103,,25025,SUFFOLK,,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
BOSTON PUBLIC SCHOOL DISTRICT,26 COURT ST,BOSTON,MA,2108,2528.0,25025,SUFFOLK,1122.0,SCHOOL DISTRICTS,1000+,OVER 5000,NOT APPLICABLE,10 AND PLUS,UNCODED,PUBLIC,>2000,,,,,Government Services
SUFFOLK UNIVERSITY,8 ASHBURTON PL,BOSTON,MA,2108,2701.0,25025,SUFFOLK,1122.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,OVER 5000,NOT APPLICABLE,NOT APPLICABLE,ARAMARK,PRIVATE,>2000,,,,,Educational Instituions
ROBERT F KENNEDY CHILDREN ACTION CORPS,11 BEACON ST,BOSTON,MA,2108,3025.0,25025,SUFFOLK,1122.0,"CENTERS FOR REHABILITATION AND READAPTION, ADULT DAY CARE",UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
ADCARE OUTPATIENT CLINIC-SBSTNC ABUSE,14 BEACON ST,BOSTON,MA,2108,3704.0,25025,SUFFOLK,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
BOSTON ALCOHOL-SUBSTANCE ABUSE PROGRAMS,30 WINTER ST,BOSTON,MA,2108,4763.0,25025,SUFFOLK,1122.0,OTHER HEALTHCARE ESTABLISHMENTS,UNCODED,NOT APPLICABLE,UNCODED,NOT APPLICABLE,UNCODED,UNCODED,51 TO 100,,,,,Healthcare
NEW ENGLAND COLLEGE OF FINANCE,10 HIGH ST,BOSTON,MA,2110,1670.0,25025,SUFFOLK,1122.0,4 YEAR COLLEGE & UNIVERSITIES,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,UNCODED,PRIVATE,501 TO 1000,,,,,Educational Instituions
URBAN COLLEGE OF BOSTON,178 TREMONT ST,BOSTON,MA,2111,1006.0,25025,SUFFOLK,1122.0,2 YEAR COLLEGE & UNIVERSITIES,UNCODED,501 TO 1000,NOT APPLICABLE,NOT APPLICABLE,OTHER CONTRACTED,PRIVATE,501 TO 1000,,PREMIER,,,Educational Instituions
